ID,TANK,SPECIES,TREATMENT,AGE,STATUS,TILE,ST,,,,,,,,,,,,,,
5ES1-1_3,E,PSTR,SUNLIGHT,14,0,5ES1-1,PSTRSUNLIGHT,,,,,,,,,,,,,,
5ES1-1_4,E,PSTR,SUNLIGHT,14,0,5ES1-1,PSTRSUNLIGHT,,,,,,,,,,,,,,
5ES1-1_5,E,PSTR,SUNLIGHT,14,0,5ES1-1,PSTRSUNLIGHT,,,,,,,,,,,,,,
6EB1-5_1,E,PSTR,BLUE,14,0,6EB1-5,PSTRBLUE,,,,,,,,,,,,,,
6EB1-5_2,E,PSTR,BLUE,14,0,6EB1-5,PSTRBLUE,,,,,,,,,,,,,,
6EB1-5_3,E,PSTR,BLUE,14,0,6EB1-5,PSTRBLUE,,,,,,,,,,,,,,
6EB1-5_4,E,PSTR,BLUE,14,0,6EB1-5,PSTRBLUE,,,,,,,,,,,,,,
6EB1-5_6,E,PSTR,BLUE,14,0,6EB1-5,PSTRBLUE,,,,,,,,,,,,,,
6EN1-1_1,E,PSTR,NATURAL,14,0,6EN1-1,PSTRNATURAL,,,,,,,,,,,,,,
6EN1-1_2,E,PSTR,NATURAL,14,0,6EN1-1,PSTRNATURAL,,,,,,,,,,,,,,
6EN1-1_3,E,PSTR,NATURAL,14,0,6EN1-1,PSTRNATURAL,,,,,,,,,,,,,,
6EN1-1_4,E,PSTR,NATURAL,14,0,6EN1-1,PSTRNATURAL,,,,,,,,,,,,,,
6EN1-1_5,E,PSTR,NATURAL,14,0,6EN1-1,PSTRNATURAL,,,,,,,,,,,,,,
6EN1-1_6,E,PSTR,NATURAL,14,0,6EN1-1,PSTRNATURAL,,,,,,,,,,,,,,
6ES1-6_1,E,PSTR,SUNLIGHT,14,0,6ES1-6,PSTRSUNLIGHT,,,,,,,,,,,,,,
6ES1-6_2,E,PSTR,SUNLIGHT,14,0,6ES1-6,PSTRSUNLIGHT,,,,,,,,,,,,,,
6ES1-6_3,E,PSTR,SUNLIGHT,14,0,6ES1-6,PSTRSUNLIGHT,,,,,,,,,,,,,,
6ES1-6_4,E,PSTR,SUNLIGHT,14,0,6ES1-6,PSTRSUNLIGHT,,,,,,,,,,,,,,
6ES1-6_5,E,PSTR,SUNLIGHT,14,0,6ES1-6,PSTRSUNLIGHT,,,,,,,,,,,,,,
7EB1-6_2,E,PSTR,BLUE,14,0,7EB1-6,PSTRBLUE,,,,,,,,,,,,,,
7EB1-6_4,E,PSTR,BLUE,14,0,7EB1-6,PSTRBLUE,,,,,,,,,,,,,,
7EB1-6_5,E,PSTR,BLUE,14,0,7EB1-6,PSTRBLUE,,,,,,,,,,,,,,
7EB1-6_6,E,PSTR,BLUE,14,0,7EB1-6,PSTRBLUE,,,,,,,,,,,,,,
7EB1-6_7,E,PSTR,BLUE,14,0,7EB1-6,PSTRBLUE,,,,,,,,,,,,,,
7EN1-3_1,E,PSTR,NATURAL,14,0,7EN1-3,PSTRNATURAL,,,,,,,,,,,,,,
7EN1-3_2,E,PSTR,NATURAL,14,0,7EN1-3,PSTRNATURAL,,,,,,,,,,,,,,
7EN1-3_3,E,PSTR,NATURAL,14,0,7EN1-3,PSTRNATURAL,,,,,,,,,,,,,,
7EN1-3_4,E,PSTR,NATURAL,14,0,7EN1-3,PSTRNATURAL,,,,,,,,,,,,,,
7EN1-3_5,E,PSTR,NATURAL,14,0,7EN1-3,PSTRNATURAL,,,,,,,,,,,,,,
7EN1-3_6,E,PSTR,NATURAL,14,0,7EN1-3,PSTRNATURAL,,,,,,,,,,,,,,
7EN1-3_7,E,PSTR,NATURAL,14,0,7EN1-3,PSTRNATURAL,,,,,,,,,,,,,,
7ES1-5_1,E,PSTR,SUNLIGHT,14,0,7ES1-5,PSTRSUNLIGHT,,,,,,,,,,,,,,
7ES1-5_2,E,PSTR,SUNLIGHT,14,0,7ES1-5,PSTRSUNLIGHT,,,,,,,,,,,,,,
7ES1-5_3,E,PSTR,SUNLIGHT,14,0,7ES1-5,PSTRSUNLIGHT,,,,,,,,,,,,,,
7ES1-5_4,E,PSTR,SUNLIGHT,14,0,7ES1-5,PSTRSUNLIGHT,,,,,,,,,,,,,,
7ES1-5_5,E,PSTR,SUNLIGHT,14,0,7ES1-5,PSTRSUNLIGHT,,,,,,,,,,,,,,
7ES1-5_6,E,PSTR,SUNLIGHT,14,0,7ES1-5,PSTRSUNLIGHT,,,,,,,,,,,,,,
7ES1-5_7,E,PSTR,SUNLIGHT,14,0,7ES1-5,PSTRSUNLIGHT,,,,,,,,,,,,,,
